time_step,served_cumulative,expired_cumulative,queued_current
540,351,183,9
541,352,183,8
542,353,183,8
543,354,184,8
544,354,184,7
545,354,184,8
546,354,184,9
547,354,185,10
548,354,186,10
549,354,187,10
550,354,188,10
551,355,189,10
552,355,190,9
553,356,190,9
554,358,190,9
555,358,191,8
556,358,192,8
557,358,193,8
558,359,193,8
559,359,193,8
560,359,194,9
561,359,195,9
562,360,195,9
563,362,195,9
564,362,196,8
565,362,196,8
566,364,197,9
567,364,197,7
568,364,197,8
569,365,198,9
570,367,198,8
571,368,198,7
572,368,198,7
573,368,198,8
574,370,198,9
575,370,199,8
576,371,199,8
577,372,199,8
578,372,199,8
579,374,199,9
580,375,199,8
581,375,199,8
582,376,199,9
583,377,199,9
584,377,199,9
585,377,200,10
586,377,201,10
587,379,201,10
588,380,201,9
589,382,201,9
590,382,201,8
591,382,202,9
592,382,203,9
593,382,203,9
594,383,204,10
595,383,204,9
596,384,205,10
597,384,205,9
598,384,206,10
599,384,207,10
600,385,208,10
